#lat	long	valor	eje-x	eje-y
-70.5460002	-23.5260447	1.56598901197e-07	0.763894563825	0.645341069016
-70.5319985	-24.264043	2.82477089726e-07	0.710977019305	0.703215243024
-70.4990037	-24.9470407	3.74300275978e-08	0.822443344467	0.568847031408
-70.4719967	-23.7660478	2.8775279117e-07	-0.697554992126	-0.716531250512
-70.4159964	-23.200039	5.31765109943e-08	0.73792198726	0.674886020539
-70.419996	-23.7020464	2.6100208073e-07	-0.699033739945	-0.7150886871
-70.4050006	-23.6690402	2.47550407112e-07	-0.706969321149	-0.707244214507
-70.4010045	-23.5440436	2.02477500909e-07	-0.682501767939	-0.730883942059
-70.2800027	-23.5050416	1.94088798641e-07	-0.673986202286	-0.738743933395
-70.2529978	-23.9640425	2.49993804542e-07	0.76588496442	0.642977621131
-70.0280003	-23.4480389	1.61458035375e-07	-0.667164548079	-0.744910374331
-69.781003	-23.342039	1.06009202149e-07	-0.680070181722	-0.733147016588
-69.6060045	-24.105047	9.60401946534e-08	0.831066542001	0.556172997156
-69.5890013	-24.8240416	2.42840335376e-08	0.931264116699	0.364344816003
-69.4160042	-23.4480432	7.40876655042e-08	0.712992668212	0.701171487638
-69.2970033	-22.9260455	3.49078755274e-08	-0.602715892507	-0.797955859005
-69.0410009	-23.5380448	3.7743304084e-08	0.740830455775	0.671692069178
-68.8980033	-24.226043	3.08656247929e-08	0.869073991674	0.494682117117
-68.6319956	-23.5510467	2.5882933044e-08	-0.700372006109	-0.713778013852
-68.5460005	-23.1770408	1.84674717835e-08	-0.672506430004	-0.740091279238
-68.4939972	-24.2540478	1.8744586236e-08	0.887461358891	0.460882128613
-68.4250025	-22.7110477	7.03526658533e-09	-0.394366233055	-0.918953358026
-68.3459975	-23.6400423	1.36647425101e-08	0.79650770069	0.604628384002
-68.2909993	-24.4490472	9.08471881104e-09	0.897844269718	0.440313146902
-68.164996	-22.9660402	8.64555757857e-09	-0.513474249267	-0.858105002514
-68.0559972	-23.6860468	1.54395182191e-08	0.754133487779	0.656721160471
-67.949995	-23.2850458	8.50267850698e-09	0.793994357725	0.607925126887
-67.8549994	-22.928039	4.55841052464e-09	-0.599701575245	-0.800223731621
-67.7579993	-23.8890396	1.0794249315e-08	0.765922359963	0.642933074673
-67.6030034	-23.5420476	2.86406546297e-09	0.915024045539	0.403399301048
-67.0729981	-23.2250393	3.64315786026e-09	-0.497881968522	-0.867244801322
